No.,Card No,Employee ID,User name,Date,Time,Terminal,IN/OUT,Door
86,Card,0359,Name,2022-09-04,09:40:02,Terminal,In/Out,Door
87,Card,0359,Name,2022-09-04,09:40:44,Terminal,In/Out,Door
88,Card,0318,Name,2022-09-04,09:42:10,Terminal,In/Out,Door
89,Card,5047,Name,2022-09-04,09:50:43,Terminal,In/Out,Door
90,Card,4014,Name,2022-09-04,10:02:13,Terminal,In/Out,Door
91,Card,0259,Name,2022-09-04,10:10:16,Terminal,In/Out,Door
92,Card,0299,Name,2022-09-04,10:12:38,Terminal,In/Out,Door
93,Card,0275,Name,2022-09-04,10:13:04,Terminal,In/Out,Door
94,Card,0275,Name,2022-09-04,10:14:40,Terminal,In/Out,Door
95,Card,0318,Name,2022-09-04,10:16:56,Terminal,In/Out,Door
96,Card,5019,Name,2022-09-04,10:51:50,Terminal,In/Out,Door
97,Card,0022,Name,2022-09-04,10:55:17,Terminal,In/Out,Door
98,Card,0275,Name,2022-09-04,11:25:48,Terminal,In/Out,Door
99,Card,0318,Name,2022-09-04,11:26:10,Terminal,In/Out,Door
100,Card,0021,Name,2022-09-04,11:35:27,Terminal,In/Out,Door
101,Card,0114,Name,2022-09-04,11:40:26,Terminal,In/Out,Door
102,Card,0122,Name,2022-09-04,11:44:04,Terminal,In/Out,Door
103,Card,5047,Name,2022-09-04,11:49:31,Terminal,In/Out,Door
104,Card,0359,Name,2022-09-04,12:10:39,Terminal,In/Out,Door
105,Card,0022,Name,2022-09-04,12:16:35,Terminal,In/Out,Door
106,Card,0122,Name,2022-09-04,12:23:35,Terminal,In/Out,Door
107,Card,0122,Name,2022-09-04,12:25:15,Terminal,In/Out,Door
108,Card,0236,Name,2022-09-04,12:32:38,Terminal,In/Out,Door
109,Card,0236,Name,2022-09-04,12:44:40,Terminal,In/Out,Door
110,Card,4014,Name,2022-09-04,12:56:17,Terminal,In/Out,Door
111,Card,0236,Name,2022-09-04,12:57:51,Terminal,In/Out,Door
112,Card,0244,Name,2022-09-04,13:18:51,Terminal,In/Out,Door
113,Card,0114,Name,2022-09-04,13:29:59,Terminal,In/Out,Door
114,Card,0114,Name,2022-09-04,13:46:12,Terminal,In/Out,Door
115,Card,2103,Name,2022-09-04,13:47:10,Terminal,In/Out,Door
116,Card,0259,Name,2022-09-04,13:50:52,Terminal,In/Out,Door
117,Card,0324,Name,2022-09-04,13:54:20,Terminal,In/Out,Door
118,Card,2103,Name,2022-09-04,13:59:28,Terminal,In/Out,Door
119,Card,2101,Name,2022-09-04,14:23:32,Terminal,In/Out,Door
120,Card,2101,Name,2022-09-04,14:34:11,Terminal,In/Out,Door
121,Card,0341,Name,2022-09-04,14:40:03,Terminal,In/Out,Door
122,Card,0341,Name,2022-09-04,14:40:13,Terminal,In/Out,Door
123,Card,0236,Name,2022-09-04,14:42:55,Terminal,In/Out,Door
124,Card,0244,Name,2022-09-04,15:04:43,Terminal,In/Out,Door
125,Card,0359,Name,2022-09-04,15:35:51,Terminal,In/Out,Door
126,Card,5047,Name,2022-09-04,16:02:27,Terminal,In/Out,Door
127,Card,4014,Name,2022-09-04,16:10:54,Terminal,In/Out,Door
128,Card,4014,Name,2022-09-04,16:29:34,Terminal,In/Out,Door
129,Card,0114,Name,2022-09-04,16:30:09,Terminal,In/Out,Door
130,Card,0022,Name,2022-09-04,16:30:33,Terminal,In/Out,Door
131,Card,0364,Name,2022-09-04,17:14:40,Terminal,In/Out,Door
132,Card,5019,Name,2022-09-04,17:15:46,Terminal,In/Out,Door
133,Card,0364,Name,2022-09-04,17:25:36,Terminal,In/Out,Door
134,Card,0364,Name,2022-09-04,17:25:38,Terminal,In/Out,Door
135,Card,2103,Name,2022-09-04,17:54:01,Terminal,In/Out,Door
136,Card,0211,Name,2022-09-04,18:01:30,Terminal,In/Out,Door
